obj_id,num_samples,partial_cd_l2_x1000,adapointr_cd_l2_x1000,improvement_percent,partial_fscore_0p01,adapointr_fscore_0p01,partial_fscore_0p02,adapointr_fscore_0p02
1,4,248.28730324741403,326.13619144576745,-37.36115085250022,0.026918980426655192,0.0122755396441512,0.1330117781913678,0.04376403750106064
2,3,96.18004932856354,139.27473342543763,-51.135710416304335,0.059258934076405166,0.02574334062034106,0.23064107495819378,0.0757933716774074
3,5,129.85158983822072,201.81534277863918,-45.9156787918878,0.10057225710221573,0.02723250317034674,0.32072603695508406,0.09198862256325843
4,5,112.80290138808297,188.13018367103413,-72.08627763132023,0.02497334530086138,0.0042057999375554826,0.13286754642751397,0.01661480878920287
5,2,94.5374537564191,131.74075638281613,-45.260498185327954,0.06803322029678575,0.016517831886138673,0.26971254420663526,0.05113004466843195
6,4,69.85681408721712,82.30244744132537,-16.09963684985582,0.05417026908414274,0.03688651040956315,0.17090836193262543,0.11082390911718532
7,1,133.45127938661676,142.49099025074986,-6.773791083669167,0.04725580860051993,0.03109242049767385,0.18569880228353228,0.0960273182606036
8,1,59.82893231006284,116.34216694183117,-94.45803635419911,0.029396467776203965,0.021897939387583894,0.16557708105147864,0.08279609403347242
9,3,168.21682240951856,202.18788311651812,-33.74810599885196,0.025482740038333618,0.009235597884519721,0.11795922012404224,0.040907022713499
10,2,308.6428646239402,519.5892730150888,-48.59478003054329,0.11299508325029162,0.03955388249110824,0.28343558117751416,0.11253089173594025
11,3,82.70415245070417,141.18681440730992,-70.69710836998628,0.07532750810984708,0.008673778094370315,0.2887253875414605,0.03846541780476539
12,4,102.15254210692596,153.53055712717094,-54.48727093043307,0.05714115554483819,0.05356759151710564,0.2509245818624415,0.13257145147337263
13,2,122.16164818679974,196.60655742452764,-464.84274389023534,0.08266739275420673,0.01768946103406075,0.3274812266825312,0.06479461719091022
14,2,78.66242450278492,139.40042624745502,-138.58441296374457,0.033843837515338135,0.012125298884982297,0.1511834931315462,0.046750914533111955
15,4,34.33251745653436,72.00118908580943,-119.83304939685328,0.08950938671345987,0.06820652731230147,0.2652000569031583,0.17219861176318813
16,1,83.40702381568065,119.73346938138178,-43.55322118431915,0.05637403056569343,0.0029834432339449542,0.2548191555762159,0.020176455635790173
17,1,50.6229415804982,134.93713359413027,-166.5533242068907,0.07179878048780487,0.0677898531303602,0.25087449717819404,0.21191001789667238
18,2,11.799495244931826,28.29497442543915,-136.86742212702916,0.06274959326122462,0.09158615329829192,0.20492232253185366,0.22825553810576757
19,2,127.19602883708114,133.31191591544012,-0.48365443907352024,0.06270204245459512,0.07441282173629386,0.1912638210618465,0.17980623530773585
20,2,17.999342978555717,18.115968956808803,-10.063503044941067,0.109835286883503,0.12749054871899831,0.29159118609415435,0.30635268078327016
21,1,121.60683210312801,175.6902025296451,-44.47395717096879,0.018128142959770114,0.013686800627729258,0.11118146603098927,0.051919729598445596
