obj_id,n,partial_cd_l2_x1000_mean,completed_cd_l2_x1000_mean,improvement_percent_mean,partial_fscore_0p01_mean,completed_fscore_0p01_mean,partial_fscore_0p02_mean,completed_fscore_0p02_mean
1,4,248.28730324741403,84.05754768075997,72.49177023104895,0.026918980426655192,0.019242293622475797,0.1330117781913678,0.10511610543372525
2,3,96.18004932856354,13.385099098086378,84.65268263401676,0.059258934076405166,0.024743846702644817,0.23064107495819378,0.14776856764039173
3,5,129.85158983822072,68.66828662752233,63.11420803150092,0.10057225710221573,0.0560013531644364,0.32072603695508406,0.227946348536023
4,5,112.80290138808297,20.165859271991973,82.18191650910187,0.02497334530086138,0.02042614815422878,0.13286754642751397,0.12261292718953432
5,2,94.5374537564191,19.93648514872885,77.38573893059393,0.06803322029678575,0.024947876659322563,0.26971254420663526,0.13637611871360314
6,4,69.85681408721712,19.81995734702859,70.34877463843802,0.05417026908414274,0.03185162168011292,0.17090836193262543,0.15653651063189902
7,1,133.45127938661676,76.37041480836822,42.77281180113807,0.04725580860051993,0.03151104266826923,0.18569880228353228,0.16593438898055457
8,1,59.82893231006284,10.725418860580303,82.07319026688303,0.029396467776203965,0.02945576817536157,0.16557708105147864,0.16584808597895295
9,3,168.21682240951856,96.24789894056396,53.63854383419133,0.025482740038333618,0.020355758828787714,0.11795922012404224,0.10828706719746505
10,2,308.6428646239402,261.2555856900633,-149.4694621286102,0.11299508325029162,0.04891097945374309,0.28343558117751416,0.20046797482592915
11,3,82.70415245070417,20.112653658689897,75.78540500878402,0.07532750810984708,0.015729933032603716,0.2887253875414605,0.11289750991876361
12,4,102.15254210692596,30.446357389870677,69.27677097081846,0.05714115554483819,0.03502625573414171,0.2509245818624415,0.1722811787592282
13,2,122.16164818679974,122.15887022308672,-71.35812166886107,0.08266739275420673,0.008150713410364146,0.3274812266825312,0.0501147002401938
14,2,78.66242450278492,14.939674803439255,77.92896167140383,0.033843837515338135,0.02162879562603267,0.1511834931315462,0.1380244354692149
15,4,34.33251745653436,22.492830150294544,37.98864365563763,0.08950938671345987,0.06362753797759192,0.2652000569031583,0.25350072036229615
16,1,83.40702381568065,31.015950109322336,62.81374314726323,0.05637403056569343,0.03408081705150977,0.2548191555762159,0.18256441711697394
17,1,50.6229415804982,53.19512861493201,-5.081069874897801,0.07179878048780487,0.06421371840373961,0.25087449717819404,0.24142891632392174
18,2,11.799495244931826,31.894101076174746,-186.7042994330917,0.06274959326122462,0.08375924375493927,0.20492232253185366,0.3146416001613423
19,2,127.19602883708114,25.873452106428434,50.31074926151305,0.06270204245459512,0.08921866867600009,0.1912638210618465,0.3299563097882283
20,2,17.999342978555717,16.97831930860287,-1.8554808744129598,0.109835286883503,0.11381735956277579,0.29159118609415435,0.3691940211436807
21,1,121.60683210312801,25.820606525521537,78.7671415503822,0.018128142959770114,0.021550582627118644,0.11118146603098927,0.12497451846791255
